attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,2048,100,1e-05,1e-05,0,0,10,10,0.001,0,500,3,False,False,False,False,False,0,42,42,42,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.32587035722754776,"[0.2761739685488257, 0.23641152999014206, 0.32587035722754776, 0.27793717788197725, 0.26519092007463746, 0.26478704247809237, 0.3069019072696136, 0.29774984237244, 0.29790035882632243, 0.2754597853274591]",0.2824382889997058,0.26450644759274783
5,0.37505296134821364,"[0.30413282972574424, 0.30645687971860924, 0.34938358806198144, 0.33508960961521533, 0.3327858704566454, 0.3381056046601862, 0.37505296134821364, 0.36717256983590746, 0.34750935866103616, 0.36301159197474114]",0.341870086405828,0.28007077744170483
8,0.4136247554035493,"[0.363882905742834, 0.3968508974669066, 0.3969303813270158, 0.3967443188491818, 0.3984847225758031, 0.4120652515359818, 0.4089424796073159, 0.40281002174351366, 0.39924774288025067, 0.4136247554035493]",0.3989583477132353,0.3092478660894491
11,0.44143256502592704,"[0.396166593095232, 0.4329850262935165, 0.43232626282770453, 0.4316477858456653, 0.43027845535009146, 0.44143256502592704, 0.4362834812576473, 0.4352413319755568, 0.4355164960967322, 0.4404281516916349]",0.4312306149459708,0.30282294362080436
14,0.47045230307463237,"[0.41697170444286036, 0.45707503595644683, 0.46474461842259807, 0.4554710666628205, 0.4635863903510452, 0.47045230307463237, 0.4652959338142457, 0.46417854133822223, 0.4602935461334966, 0.4667159587234341]",0.45847850989198013,0.3230888304593631
17,0.49924665934081797,"[0.4432130795791377, 0.49206257124433606, 0.49924665934081797, 0.481880306354208, 0.4816752728232931, 0.49386466645810384, 0.4894792362567923, 0.48650274588379966, 0.4842499177175963, 0.4857805758506748]",0.483795503150876,0.3117549830054673
20,0.5148368024110758,"[0.45046406341008155, 0.4992252796454625, 0.5148368024110758, 0.4896075891982778, 0.4938339676873655, 0.5070819988345814, 0.5112325370073987, 0.507453241889686, 0.5043739554775449, 0.5063557767172477]",0.4984465212278722,0.29924683852760947
23,0.5422701763679244,"[0.4662713908627791, 0.5197246207838493, 0.5422701763679244, 0.5161259538603887, 0.5190723435911619, 0.5276924358616081, 0.5250687040159956, 0.5275596847674232, 0.5245149595330586, 0.52088232145525]",0.5189182591099438,0.3150900863744589
26,0.5750296742969234,"[0.48347443329813605, 0.5466501021142843, 0.5750296742969234, 0.546921776113632, 0.5472822475802388, 0.5556022330255512, 0.5495438377242986, 0.5512177874941044, 0.5513902766582961, 0.5475980515465003]",0.5454710419851965,0.2947746008270777
29,0.5789182921247362,"[0.4828658598437176, 0.5425857452202503, 0.5789182921247362, 0.5516623389951409, 0.5544447318504092, 0.5651137075306784, 0.5551474757565702, 0.5546471381819859, 0.5548828937385395, 0.5524845559385784]",0.5492752739180606,0.31404039695742125
32,0.5815098028736913,"[0.4846721434992018, 0.5505920404863993, 0.5815098028736913, 0.5507740519447605, 0.5527601388966743, 0.5652099412250752, 0.5635294593827952, 0.5626299654689745, 0.5652330906287737, 0.5600587958153279]",0.5536969430221673,0.3092926868587404
35,0.5658677405627028,"[0.475277081882727, 0.5390867630024638, 0.5658677405627028, 0.5358468649238807, 0.5429993388802515, 0.5483188379121182, 0.5548773899788938, 0.5495892794122663, 0.5523346214678394, 0.548221477425718]",0.5412419395448862,0.2963437207273085
38,0.5585635335612574,"[0.47525793256283366, 0.539025005988111, 0.5585635335612574, 0.5354454406356475, 0.5417748740195276, 0.5541103928030602, 0.5520418151025591, 0.5522714146771278, 0.5565740528691406, 0.5545650785509999]",0.5419629540770264,0.30466024242480094
41,0.566130823757866,"[0.47646967568555876, 0.5433289675271162, 0.566130823757866, 0.5419872529100981, 0.549436502368833, 0.5609221844841659, 0.5578648674592696, 0.5592353574327064, 0.5602874221169816, 0.5595698049242122]",0.5475232858666809,0.3730071960295865
44,0.5713027210666911,"[0.48008093186521483, 0.5457249712805463, 0.5713027210666911, 0.5459600619525661, 0.5521744079374997, 0.5645304906642787, 0.564246364481928, 0.5642325468631493, 0.5660562885023798, 0.5621237988844]",0.5516432583498655,0.3021009105248722
47,0.5715387661635833,"[0.48766055437225403, 0.5563060110470605, 0.5693620359752182, 0.5532905171288862, 0.5581058058615312, 0.5715387661635833, 0.567260379206785, 0.5620922528276882, 0.5659230341000423, 0.5607616613401318]",0.5552301018023181,0.30288708293429073
