attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,2048,100,1e-05,1e-05,0,0,10,10,0.001,0,500,3,False,False,False,False,False,0,42,42,41,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.3282454068760162,"[0.2677962438050173, 0.3282454068760162, 0.3151457252591584, 0.27982468074137146, 0.31013609453536983, 0.3011034237866963, 0.2792871791774478, 0.2894934629274777, 0.3012577800021954, 0.26976612712487863]",0.2942056124235629,0.2640962334673027
5,0.3968106201133502,"[0.2885760427100998, 0.3507601489113056, 0.3583462815985047, 0.33970677187646064, 0.36927918467179693, 0.36438975108721955, 0.36350264242929464, 0.3778048507203524, 0.3449328803351752, 0.3968106201133502]",0.35541091744535597,0.31187812556937294
8,0.39794162354061957,"[0.2868743550196447, 0.3608711247090241, 0.3759674397801316, 0.36014679160721264, 0.3792242747130189, 0.36345458019532567, 0.37082913216364116, 0.37644616620544064, 0.3529815557731996, 0.39794162354061957]",0.36247370437072585,0.30939522070581554
11,0.41142330533285126,"[0.3151434668767007, 0.38392698077970855, 0.39112333374059666, 0.3785636066868884, 0.40777229597693043, 0.3824478871178031, 0.3884947728725391, 0.3975066246794652, 0.38248184733922486, 0.41142330533285126]",0.3838884121402708,0.29577749028813766
14,0.4242668968361622,"[0.3438875431358424, 0.39682532639015966, 0.40491781003043936, 0.3921040088203739, 0.42355946512038417, 0.3982156765234344, 0.4072764662734958, 0.41966212577306683, 0.3960987795113423, 0.4242668968361622]",0.40068140984147016,0.3199209321176523
17,0.4587148272422256,"[0.3761842497649117, 0.4245777142901514, 0.43550236895301164, 0.42515375670812644, 0.44846775164049973, 0.4223528844688581, 0.43892794033022475, 0.44394968013902025, 0.43050225923046065, 0.4587148272422256]",0.430433343276749,0.3424284247990865
20,0.49463326698219856,"[0.4119450504875215, 0.45978595945031814, 0.4715697673772434, 0.4632085171508356, 0.47762149482504973, 0.455413256152327, 0.4800955262913992, 0.4864791433331468, 0.46950765009848183, 0.49463326698219856]",0.4670259632148522,0.3296517293393207
23,0.5218538780650943,"[0.4453936395220054, 0.5030999658814523, 0.5013338311985401, 0.4938474791364639, 0.5004618043633932, 0.4889001726361439, 0.5109720211742974, 0.5124529728895689, 0.5023969087370572, 0.5218538780650943]",0.49807126736040164,0.332959328831181
26,0.5452945525668218,"[0.47189780033143025, 0.5282578848459829, 0.5262936616420459, 0.5191050136140363, 0.5282247298416689, 0.512239989456621, 0.5380294915423545, 0.5399488131791362, 0.5263622269586459, 0.5452945525668218]",0.5235654163978745,0.3045850899532231
29,0.5573416202772378,"[0.49115245419164133, 0.5483749762404508, 0.5445790094214369, 0.541215067611757, 0.5420113926960959, 0.5323508689517971, 0.554346434547677, 0.5573416202772378, 0.5491811975317437, 0.5546431313009066]",0.5415196152770745,0.3200362950661394
32,0.5772232064568918,"[0.49729475701447184, 0.5588599131052518, 0.561757049644221, 0.5550761210314944, 0.5543479011363825, 0.5482567275110011, 0.5695545559002149, 0.5772232064568918, 0.5631699740670056, 0.5723536940904694]",0.5557893899957405,0.3556694899883095
35,0.5769434910453645,"[0.5000546578979295, 0.5609397326581462, 0.5583977821638737, 0.5543621254559682, 0.5532233068033607, 0.5550448685393502, 0.571451929083775, 0.5769434910453645, 0.568522633486376, 0.5688406236824363]",0.556778115081658,0.32334639628300377
38,0.5864134635628573,"[0.4883180553469472, 0.5607253129267065, 0.5657123761697287, 0.5621559074418367, 0.5647868418812456, 0.5612120706652999, 0.5793709984778637, 0.5864134635628573, 0.567659036299003, 0.5768600862056563]",0.5613214148977145,0.37975180853082924
41,0.5811011822547557,"[0.48674514144072056, 0.5548473916756553, 0.5623652033611319, 0.5626174640221553, 0.5552324140126063, 0.552205616708515, 0.5746588779570361, 0.5811011822547557, 0.5653673557528563, 0.5749983422998111]",0.5570138989485244,0.37346813255914335
44,0.5670689259301028,"[0.4937043771290222, 0.5453401586942958, 0.5475618432000744, 0.5512665726451059, 0.5431803480767743, 0.5463378260072381, 0.5611541063969694, 0.5670689259301028, 0.5553146398983517, 0.5597674755074038]",0.5470696273485338,0.3280718014845379
47,0.568640579770836,"[0.4981416945662602, 0.5471543172357423, 0.5523993564075533, 0.5589444786544234, 0.548522299949092, 0.5559154225788272, 0.5665329006687942, 0.568640579770836, 0.5601477779808144, 0.5622345587746294]",0.5518633386586973,0.3809826505481358
50,0.5758253838378085,"[0.5115937140769681, 0.5513425082835217, 0.5584185652418197, 0.564152551782233, 0.5584728155721065, 0.5620384155601341, 0.5724416374130998, 0.5758253838378085, 0.5655586603122994, 0.5672563544274472]",0.5587100606507438,0.31302219282156396
53,0.5904245679327709,"[0.5235303072819142, 0.5614023486818008, 0.572198376818555, 0.5719338759521916, 0.5708775096439409, 0.5762024585738301, 0.5824533064549842, 0.5904245679327709, 0.578237681275838, 0.5788251878907704]",0.5706085620506597,0.30001644745149314
