epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc,attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
65,0.630514450565077,"[0.5518603092457488, 0.5815586908394546, 0.60277611392287, 0.6276050355558991, 0.6166123176535081, 0.6256455406332908, 0.6249462143261274, 0.6096314381612168, 0.6225811291537451, 0.630514450565077]",0.6093731240056938,0.34607613961109335,16,512,2048,100,1e-05,1e-05,0,0,10,10,0.001,0,500,3,False,False,False,False,False,0,41,41,40,True
77,0.6092109884001828,"[0.5374553124522299, 0.5665807259670677, 0.5963775970154158, 0.6020904030388745, 0.6092109884001828, 0.6008126019551785, 0.596034050977111, 0.5960266859766237, 0.5924007407935755, 0.5790716963263087]",0.5876060802902567,0.3265195167294744,16,512,2048,100,1e-05,1e-05,0,0,10,10,0.001,0,500,3,False,False,False,False,False,0,41,41,41,True
71,0.6171671790498775,"[0.4985195950594802, 0.5602139857498227, 0.5841836245077598, 0.5942871745351239, 0.5822870977611474, 0.6102692878815079, 0.6171671790498775, 0.6020263328672173, 0.6046888345691697, 0.5943352921835073]",0.5847978404164614,0.363337663222555,16,512,2048,100,1e-05,1e-05,0,0,10,10,0.001,0,500,3,False,False,False,False,False,0,41,41,42,True
95,0.5729367428414368,"[0.5184760605277876, 0.5470981017906633, 0.5537898637026247, 0.5511052855132493, 0.5454071118784545, 0.5491323676029191, 0.5636267656495233, 0.5504797851238876, 0.5729367428414368, 0.5703909973641631]",0.552244308199471,0.29361682097630837,16,512,2048,100,1e-05,1e-05,0,0,10,10,0.001,0,500,3,False,False,False,False,False,0,42,42,40,True
95,0.62789319370085,"[0.5363562273441305, 0.5753799951576559, 0.599823693515849, 0.6019854216611643, 0.6173927625100516, 0.62789319370085, 0.6109261602961741, 0.6192594311228709, 0.6064460315434193, 0.615489104718794]",0.6010952021570959,0.36659387891428274,16,512,2048,100,1e-05,1e-05,0,0,10,10,0.001,0,500,3,False,False,False,False,False,0,42,42,41,True
71,0.6236828481269892,"[0.4958149158023925, 0.5766156036274814, 0.6182833659233242, 0.6001089033862617, 0.5990465538449271, 0.6182741452701859, 0.6232572322672338, 0.615605241500923, 0.6236828481269892, 0.6088556756030113]",0.597954448535273,0.33779793896806454,16,512,2048,100,1e-05,1e-05,0,0,10,10,0.001,0,500,3,False,False,False,False,False,0,42,42,42,True
