attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
32,512,2048,100,0.0001,1e-05,0,0,10,10,0.001,0,500,1,False,False,False,False,False,0,41,41,40,True


epoch,enn-acc
0,0.32246423940523783
1,0.428080072899086
2,0.438500721206744
3,0.44151264060383877
4,0.42438865591946034
5,0.42009433866067675
6,0.42715967122990034
7,0.404644755815127
8,0.3945771217148738
9,0.40734647698110277
10,0.387025879049645
11,0.3682536498633013
12,0.3749392385145459
13,0.368596582181341
14,0.35324339221437173
15,0.348374229110767
16,0.3439541394896129
17,0.3291683387498777
18,0.3173408706708981
19,0.3197264668186961
20,0.33340939255218466
21,0.34123575691522345
22,0.32085199092532085
23,0.2997765356206338
24,0.32688031916686217
25,0.32289421620456576
26,0.3032626905103523
27,0.31159261160490126
28,0.32740586740266775
29,0.3026873541977036
30,0.2914908464159908
31,0.29443333419052
32,0.28274830619916014
33,0.27488658241143715
34,0.2927549704972447
35,0.2893443663248833
36,0.2919556299323143
37,0.29499175687224594
38,0.28273294291227435
39,0.2733812273790036
40,0.2945771341703908
