attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
32,512,2048,100,0.0001,1e-05,0,0,10,10,0.001,0,500,1,False,False,False,False,False,0,41,41,40,True


epoch,enn-acc
0,0.20063801248761265
1,0.1963786548414304
2,0.22077442983121992
3,0.23666283519978254
4,0.2470669993503011
5,0.255710584707806
6,0.25843896874124617
7,0.2616229095370672
8,0.2683119048566725
9,0.28754127683555786
10,0.2938370306978132
11,0.28772868063362383
12,0.2980389592667517
13,0.2950175003966036
14,0.301287236917964
15,0.29648516922528156
16,0.2909391588659388
17,0.3088431747333439
18,0.28775866402539024
19,0.29195023769742867
20,0.3115792862653789
21,0.31652453933449354
22,0.30103554737288024
23,0.2910660765873997
24,0.3083065828140057
25,0.307750025345003
26,0.28944260372567354
27,0.3011893907677315
28,0.3274236622414349
29,0.32828037304732216
30,0.30572776686114583
31,0.30714965797558114
32,0.31878388952772735
33,0.2960868252136798
34,0.2874135354222587
