attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
32,512,2048,100,0.0001,1e-05,0,0,10,10,0.001,0,500,1,False,False,False,False,False,0,41,41,40,True


epoch,enn-acc
0,0.4271881249146844
1,0.4185208988735238
2,0.4508094262464287
3,0.4706128606222884
4,0.47761531305035126
5,0.4799689608929566
6,0.4814548538673661
7,0.490229949600457
8,0.4797732152795574
9,0.4701748837266475
10,0.49844770951984774
11,0.5028053144849169
12,0.5088749166470737
13,0.5042014090780811
14,0.4871305245216823
15,0.49071938144888244
16,0.4813782568541498
17,0.4853000224125304
