attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,40,40,41,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5492121117934776,"[0.5329920036007848, 0.5488643346188506, 0.5435427951556139, 0.5378173575427536, 0.5341494303002297, 0.547163904442623, 0.5492121117934776]",0.5419631339220476,0.4116759721426109
5,0.6059654032077362,"[0.567199986381526, 0.5708413077450689, 0.5857482780563813, 0.5967037605910318, 0.5918100190401183, 0.6012329843027207, 0.6059654032077362]",0.5885002484749403,0.3655778260291835
8,0.6217282516205235,"[0.5770822461337521, 0.5933413379092648, 0.6084395431334124, 0.6217282516205235, 0.5918356280606772, 0.6089685226203811, 0.6153555848405245]",0.6023930163312193,0.3388961989800622
11,0.6339475567337554,"[0.5929321596907092, 0.6085862651236276, 0.6097054619873827, 0.6339475567337554, 0.6028157309123854, 0.6128100683062995, 0.6234866605918142]",0.6120405576208533,0.3290122229018202
14,0.6454634794598487,"[0.6067245741914836, 0.6145648745620461, 0.619238830961614, 0.6454634794598487, 0.6009038099860791, 0.6268808258100946, 0.6264164103661356]",0.6200275436196145,0.3282433182359616
17,0.6493666458965032,"[0.6266094144012229, 0.622129968542115, 0.6237066679981373, 0.6493666458965032, 0.6057464062636944, 0.6390343894321788, 0.6239500653400383]",0.6272205082676985,0.33600145473997717
20,0.6524356651873304,"[0.638466027192688, 0.6235117189900161, 0.630227479742531, 0.6524356651873304, 0.6121493050763622, 0.6493831824466977, 0.6246024994863022]",0.6329679825888467,0.33765972307335473
23,0.6570534094021847,"[0.6404185591109315, 0.624888206531363, 0.6327298938927302, 0.6501594011195253, 0.6203235550240037, 0.6570534094021847, 0.6277266615476388]",0.6361856695183395,0.34012559975237977
26,0.6622963757639302,"[0.6391664841820718, 0.6232693647343917, 0.6338036838049463, 0.653617360745413, 0.6275752930821954, 0.6622963757639302, 0.6296952391407122]",0.63848911449338,0.34250501270821493
29,0.663906302143856,"[0.6357795098385536, 0.6220301783468583, 0.6310413673631281, 0.6551487696818546, 0.6267748738441543, 0.663906302143856, 0.633139422865627]",0.6382600605834332,0.3436109574866299
