attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,40,40,42,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5592705046977593,"[0.5503228909049792, 0.5592705046977593, 0.5514573103929029, 0.5519001596439205, 0.5469302850271782, 0.552520081430275, 0.553649134047254]",0.5522929094491813,0.40940908682084665
5,0.585623176909767,"[0.5813117065860709, 0.5831839763287703, 0.5717273557482468, 0.5785672855472407, 0.5750760497865469, 0.585623176909767, 0.5794708691813859]",0.5792800600125755,0.36267157765750857
8,0.6093557331751148,"[0.5929620616173453, 0.5970552385685728, 0.5947897551263598, 0.6034614557992694, 0.5982278508139289, 0.6041154799220403, 0.6093557331751148]",0.5999953678603759,0.34134667211208175
11,0.6349808673111215,"[0.6124618663353486, 0.6112691426678529, 0.6177194549675773, 0.6239716198453393, 0.6243958616465581, 0.6276262032438895, 0.6349808673111215]",0.621775002288241,0.32809685795616794
14,0.6496697164582962,"[0.6320109111311517, 0.6317748473637723, 0.6403169910957711, 0.648461733569164, 0.6408645717891029, 0.6434701309817308, 0.6496697164582962]",0.6409384146269985,0.32741040857185394
17,0.6539533217372513,"[0.6497268661078996, 0.6446881104767519, 0.6497398146534568, 0.6539533217372513, 0.6448922523110445, 0.6447081401118485, 0.6482449720127708]",0.6479933539158605,0.32982347844825993
20,0.6619433332328806,"[0.6584690487302242, 0.6571299872743733, 0.6541070496496588, 0.6619433332328806, 0.6544411744402711, 0.658041127950305, 0.6494441959590891]",0.6562251310338288,0.3322766804106356
23,0.6626500940211132,"[0.6626500940211132, 0.6619001913726668, 0.6607058985075479, 0.6599372804459789, 0.6600419083217376, 0.6575043764769992, 0.6541233225467653]",0.6595518673846871,0.3350325650064761
26,0.6642815702480054,"[0.6642815702480054, 0.6639217026743124, 0.6608001902933034, 0.6539703684618571, 0.6582109211611816, 0.6533858025094335, 0.6470197875069152]",0.6573700489792869,0.33612962384355555
29,0.6709065169855645,"[0.6626804707124752, 0.6709065169855645, 0.6646473459691924, 0.6510824849298582, 0.6551355887627571, 0.6436359478935363, 0.6424296221308545]",0.6557882824834627,0.33511821056762237
