attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,42,42,42,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5275964400817051,"[0.4763926465768643, 0.49811152805251774, 0.49522776874047125, 0.5077699674302736, 0.4967719594914451, 0.5275964400817051, 0.5119901140452836]",0.501980060631223,0.3846041324366123
5,0.5467249770292106,"[0.5222120240510386, 0.5467249770292106, 0.5376317679361612, 0.5444778663282648, 0.5325540171143942, 0.5443080030547546, 0.5421676175967731]",0.5385823247300853,0.37881042309926766
8,0.5873251125797285,"[0.5627056216514227, 0.5873251125797285, 0.5740933956410175, 0.5789852333054016, 0.5675896742278442, 0.5706903651604358, 0.5632328642250437]",0.572088895255842,0.3770543902821396
11,0.6200585332674986,"[0.5960376507213214, 0.6163974966146829, 0.6071368654475471, 0.6200585332674986, 0.5944445513446122, 0.6057012184267772, 0.5938358249763228]",0.6048017343998231,0.3652940096757216
14,0.6320175286643777,"[0.6130164505712533, 0.6272942953455708, 0.6211507223181318, 0.6320175286643777, 0.6120653636633846, 0.6297205286250341, 0.6164909305158683]",0.6216794028148029,0.3502686897253055
17,0.6431637283920123,"[0.6189020127531707, 0.6348830148392007, 0.6278090434669796, 0.6431637283920123, 0.6336418091209876, 0.6381724758605121, 0.6298948682525587]",0.6323524218122031,0.3566102396060112
20,0.6460582344099213,"[0.6240072780117634, 0.6418045024622276, 0.6376272512895471, 0.6460582344099213, 0.6366570030364279, 0.6432155048063758, 0.6310570137971714]",0.6372038268304907,0.3603276975534487
23,0.644292674136392,"[0.6234668064756568, 0.644121093045749, 0.6396677429741794, 0.644292674136392, 0.633692773220649, 0.6366278767904868, 0.6274017861185517]",0.6356101075373807,0.36822250913483856
26,0.6441957520109517,"[0.6235939754326519, 0.6441957520109517, 0.6357809278364339, 0.6366208517323309, 0.6262757830800679, 0.6331304390853687, 0.6241951604796317]",0.6319704128082052,0.37066979291431634
29,0.6408980803891138,"[0.6183437061180416, 0.6408980803891138, 0.6347482737692037, 0.6274302104156505, 0.6214120072492961, 0.6319008011149769, 0.6209082490667046]",0.6279487611604269,0.37507751704710257
