attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,42,42,40,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.514839352612044,"[0.455600903753799, 0.484492275097918, 0.5130789311373661, 0.4918076636110896, 0.49636870955107354, 0.502189128419414, 0.514839352612044]",0.4940538520261005,0.38715420505772297
5,0.5672309752446751,"[0.5181647086696353, 0.5362851538339044, 0.5604120728200324, 0.5315788655458374, 0.5465145912976923, 0.5449782518046975, 0.5672309752446751]",0.5435949456023536,0.391579841477012
8,0.5995092976189487,"[0.5527473751868173, 0.5801634750399524, 0.5995092976189487, 0.5655713697315325, 0.5833219440242441, 0.5797278306301494, 0.5935980884942704]",0.5792341972465593,0.373047293799974
11,0.6416775610523973,"[0.5989693769899274, 0.6300673063739779, 0.6416775610523973, 0.6077523272691587, 0.6183276859966675, 0.6201295888213514, 0.6383856226443628]",0.6221870670211205,0.3555458263527688
14,0.6587797045412377,"[0.6211122777654904, 0.658051576829844, 0.6587797045412377, 0.6305447035925763, 0.6426817218815446, 0.6409192555276448, 0.6542776739138052]",0.643766702007449,0.33690595077442015
17,0.674339092556379,"[0.6361921734643217, 0.674339092556379, 0.6709257634492998, 0.6434875507059667, 0.6563008206152267, 0.6549956455313275, 0.6610582055978755]",0.6567570359886281,0.3426229353368904
20,0.6804207295083508,"[0.6467751921955772, 0.6804207295083508, 0.6742384404892185, 0.647336612523995, 0.6581535591602585, 0.6586284685482596, 0.6607770295975446]",0.6609042902890291,0.34684278255300105
23,0.6819002026893174,"[0.6485160394522754, 0.6819002026893174, 0.6769500080630191, 0.6477595393403662, 0.655096420459291, 0.6551519427829523, 0.6585051691082302]",0.6605541888422073,0.35075686498763
26,0.6811132780743191,"[0.6497509199658003, 0.6811132780743191, 0.6785521280140284, 0.6454371694623263, 0.6505708910092148, 0.65673170246287, 0.6606741923128976]",0.660404325900208,0.35428806701685145
29,0.6808749414775045,"[0.6504454012934754, 0.6808749414775045, 0.6782545966268959, 0.6449434489254131, 0.6508245291477246, 0.6608809614879846, 0.6659024779269664]",0.6617323366979948,0.3549837308991824
