attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,41,41,40,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.47539227132528267,"[0.4420088683911085, 0.448807451455058, 0.4655504741409028, 0.46881874460731066, 0.4726340256264108, 0.4558101938857936, 0.47539227132528267]",0.4612888613474096,0.3987549170899215
5,0.5281397543029911,"[0.46138326440468014, 0.4571223018375375, 0.5012285350923197, 0.5147145570480686, 0.5274398494941427, 0.5199852026848624, 0.5281397543029911]",0.5014304949806575,0.37574193246277454
8,0.5593476322927801,"[0.49155767303353787, 0.4875173846676811, 0.5302477393611789, 0.5335242974188342, 0.5593476322927801, 0.5536865639254763, 0.550043110723943]",0.5294177716319188,0.364439288311232
11,0.5598513283840414,"[0.5033835776124319, 0.49742577642451263, 0.531750528116202, 0.5377212992979029, 0.5598513283840414, 0.5517790183890853, 0.5442225986985326]",0.5323048752746726,0.3532365226927043
14,0.5671739113966126,"[0.5093792910346973, 0.5116036863799087, 0.5407567693620107, 0.547842065260933, 0.5671739113966126, 0.553729374402337, 0.5437383562940615]",0.5391747791615088,0.3469492429440911
17,0.5749573749851308,"[0.5115722524828634, 0.5139302864969891, 0.544315462727373, 0.5599758906954196, 0.5749573749851308, 0.5616045602506039, 0.5446164953180896]",0.54442461756521,0.3479496194654931
20,0.5836113008353444,"[0.5138025999852964, 0.5212134543326112, 0.5454984263433277, 0.5651863966406807, 0.5836113008353444, 0.5713220976607117, 0.5526593869931584]",0.5504705232558759,0.3475450510518093
23,0.5834102827750851,"[0.5216772775120156, 0.5281496530214984, 0.5549148742316735, 0.5678020522210003, 0.5834102827750851, 0.5796410385558002, 0.5613784533387374]",0.556710518807973,0.351097760544165
26,0.5789306379687442,"[0.5252034001934432, 0.5365314011467578, 0.5562827077706914, 0.5651395923637476, 0.5789306379687442, 0.5775402992168595, 0.5622155653930523]",0.557406229150471,0.3526634914371477
29,0.584506183225005,"[0.5260240234903135, 0.5328268087309415, 0.5636636696806949, 0.570629441298594, 0.5774711947578524, 0.584506183225005, 0.5620607898285608]",0.5595974444302803,0.36199417533515543
