epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc,attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
26,0.6063114922880022,"[0.5438576023741002, 0.5587318757009576, 0.5638191239875495, 0.6063114922880022, 0.5564960518651593, 0.597731225065497, 0.5808557360378335]",0.5725433010455856,0.3648221612707569,16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,41,41,41,True
26,0.6653078203607032,"[0.6264176441543409, 0.6653078203607032, 0.6578656762943279, 0.6628959389038428, 0.6611660706770076, 0.6494802151644633, 0.6607715530680403]",0.6548435598032466,0.35880631964609455,16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,42,41,41,True
26,0.6090176542812802,"[0.5479408557470263, 0.5608244713969397, 0.5655904889444515, 0.6090176542812802, 0.5580300121226279, 0.5973772596293551, 0.5846469333329416]",0.5747753822078032,0.3648221612707569,16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,41,42,41,True
23,0.5899931222461513,"[0.5363648827418269, 0.5146062500697279, 0.5536986901479892, 0.5719307216427497, 0.5604563586318962, 0.5683875973506005, 0.5899931222461513]",0.5564910889758488,0.35906751929328135,16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,41,41,42,True
26,0.6677560300830626,"[0.6221038418973222, 0.6677560300830626, 0.6550575484957016, 0.66267988692718, 0.6614648674944793, 0.65063399445774, 0.6608730424828299]",0.6543670302626164,0.35880631964609455,16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,42,42,41,True
23,0.5873448659299665,"[0.5421686710421597, 0.517479189819083, 0.5533281914527146, 0.5717789981914263, 0.5653914711303356, 0.5695341944391387, 0.5873448659299665]",0.558146511714975,0.35906751929328135,16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,41,42,42,True
20,0.6460582344099213,"[0.6240072780117634, 0.6418045024622276, 0.6376272512895471, 0.6460582344099213, 0.6366570030364279, 0.6432155048063758, 0.6310570137971714]",0.6372038268304907,0.3603276975534487,16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,42,42,42,True
