attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,42,41,41,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5284029757605514,"[0.47981208016783466, 0.5116578886362613, 0.5113370066334662, 0.5172871929589635, 0.5266557350773418, 0.5111571144171541, 0.5284029757605514]",0.5123299990930817,0.38401166450758634
5,0.5664552891718482,"[0.5325979946791649, 0.5473054219494521, 0.5569018894891322, 0.5554134306445804, 0.5570258601700688, 0.5481579222833635, 0.5664552891718482]",0.5519796869125158,0.394925911853214
8,0.5969083703453669,"[0.5672958886155556, 0.5791512692004755, 0.5794943598796163, 0.5837159980926216, 0.5832443459560397, 0.5826873062633735, 0.5969083703453669]",0.5817853626218642,0.3679524093316145
11,0.622297099242074,"[0.59504219231488, 0.6124345024721818, 0.6056771353994004, 0.6154863469699687, 0.6135455602042048, 0.6062119824544298, 0.622297099242074]",0.6100992598653056,0.35710641655622316
14,0.6439400058524399,"[0.6089453367746626, 0.6343590851974541, 0.6248901059207347, 0.6390582593985689, 0.6367744279756478, 0.6253993822454215, 0.6439400058524399]",0.630480943337847,0.34095031228649736
17,0.653854387603922,"[0.6115875217632396, 0.649121864361512, 0.6368443427524977, 0.65259830182696, 0.6501294111127252, 0.6408295719970633, 0.653854387603922]",0.6421379144882743,0.3452018799514635
20,0.6633567665389706,"[0.6190207010635566, 0.6581551206386844, 0.6446723180226006, 0.6633567665389706, 0.6564025997053091, 0.6445693020245238, 0.6546180216440799]",0.6486849756625322,0.35115141034758274
23,0.6639565567971086,"[0.6239263273193226, 0.6618758605760517, 0.6499999740954903, 0.6639565567971086, 0.6609580953346683, 0.6465979655777032, 0.6570672763188067]",0.6520545794313073,0.3548147241248484
26,0.6653078203607032,"[0.6264176441543409, 0.6653078203607032, 0.6578656762943279, 0.6628959389038428, 0.6611660706770076, 0.6494802151644633, 0.6607715530680403]",0.6548435598032466,0.35880631964609455
29,0.6612908887916227,"[0.6223686716454293, 0.6612908887916227, 0.6514256572310948, 0.6589467086681334, 0.6577148681219496, 0.6492387397321727, 0.6561226871892781]",0.6510154601970972,0.3601389934894346
