attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,41,42,42,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.4915077923093545,"[0.47062159443923635, 0.45885355787897897, 0.47320998265768477, 0.47323729665879455, 0.4809454357033718, 0.48083077903228844, 0.4915077923093545]",0.4756009198113871,0.3952209794603333
5,0.5417149758605433,"[0.5027500874499825, 0.4809275013823819, 0.5242772053870662, 0.5300132703144425, 0.5185971985149105, 0.516890278193906, 0.5417149758605433]",0.5164529310147474,0.3762553257863021
8,0.5766385692812288,"[0.5323262926711645, 0.5021471869015075, 0.5640949295847444, 0.5599073003604007, 0.5589865163335074, 0.5559461623983111, 0.5766385692812288]",0.5500067082186949,0.36713446718135817
11,0.564825280304482,"[0.5401514683254395, 0.5016651047312461, 0.5633430279210481, 0.5621735154081147, 0.5596698641726177, 0.5587902995676557, 0.564825280304482]",0.5500883657758006,0.35510836981314853
14,0.5723276672395692,"[0.5412254480339518, 0.5070094839695823, 0.561895529565689, 0.5710212620436332, 0.5690517220785953, 0.5679569965386727, 0.5723276672395692]",0.5557840156385276,0.34814192005126365
17,0.581310272404371,"[0.5396360136585091, 0.5078106207414113, 0.5597329335806454, 0.5761269522816257, 0.5697345695834962, 0.5713491642709767, 0.581310272404371]",0.5579572180744338,0.3477517306624001
20,0.583213086719583,"[0.5372830159640071, 0.5132801199481207, 0.5561287889465496, 0.5763208609738092, 0.5674499488810951, 0.5669417381342721, 0.583213086719583]",0.5572310799382052,0.35304421729166374
23,0.5873448659299665,"[0.5421686710421597, 0.517479189819083, 0.5533281914527146, 0.5717789981914263, 0.5653914711303356, 0.5695341944391387, 0.5873448659299665]",0.558146511714975,0.35906751929328135
26,0.5850699171468984,"[0.5432784267124134, 0.5190924421963946, 0.5547118395426363, 0.5684056176225953, 0.5589956618591858, 0.5686588442480499, 0.5850699171468984]",0.5568875356183105,0.3636470516255015
29,0.5855650192841291,"[0.5460125894988228, 0.5205503453483236, 0.5589468503649165, 0.5705237968909098, 0.5612107109244767, 0.5697634318380771, 0.5855650192841291]",0.5589389634499508,0.36345593441259755
