attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,train_w_frnk,attr_in_01,gpu,seed,write_csv,ATTR_IN_01,ADVERSARIAL,TRAIN_W_FRNK
16,512,1536,60,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,0,40,True,False,False,False


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5387965121567555,"[0.5201984247435846, 0.5387965121567555, 0.5313837400143767, 0.5334236000199487, 0.5211918550620707, 0.5371694674987244, 0.5344577888557344]",0.5309459126215994,0.41092340769633656
5,0.5845310904804464,"[0.5402506657717411, 0.5679584289960913, 0.5786809436879465, 0.5830456730981515, 0.5845310904804464, 0.5787752003776111, 0.5805149480193008]",0.5733938500616126,0.35809248015844414
8,0.5861740902713364,"[0.5467567586732495, 0.5743062951363058, 0.5718879169334892, 0.561435079456495, 0.562467385685284, 0.5804287797649417, 0.5861740902713364]",0.5690651865601574,0.334057551637941
11,0.6225092520101764,"[0.5690991520745502, 0.5884698221188873, 0.6045178009725937, 0.6004345074493227, 0.6225092520101764, 0.6028628653295367, 0.5832321123123742]",0.595875073181063,0.33112125886915117
14,0.6262823959375334,"[0.5827575865393835, 0.5987534037370006, 0.5858744487033232, 0.6262823959375334, 0.6204021011667284, 0.5936765099657955, 0.6038509847739268]",0.601656775831956,0.33666345894613803
17,0.6312706803790877,"[0.60869726652298, 0.6196940907312819, 0.6305345177979259, 0.6293218554293224, 0.6220678416551243, 0.6312706803790877, 0.606846096868571]",0.6212046213406133,0.33952021671491234
20,0.6380358700862802,"[0.609563432893164, 0.6157006534446019, 0.636324828621804, 0.6380358700862802, 0.6124618092023226, 0.6333763393341041, 0.6218559681423333]",0.6239027002463728,0.34653775914328655
23,0.6411114116774644,"[0.6199325330224301, 0.6258110149161953, 0.6390638798682422, 0.6353078971759909, 0.6411114116774644, 0.6265913609326691, 0.6339527784707231]",0.6316815537233879,0.3431186652336439
26,0.658557712637513,"[0.6118915211274892, 0.6492870979638908, 0.6357359311517088, 0.6514809923370641, 0.658557712637513, 0.6457742389484471, 0.6271207261204538]",0.6399783171837953,0.3655934954898239
29,0.6578099620570017,"[0.6203636768781713, 0.6297389478388593, 0.6578099620570017, 0.6404574169540501, 0.6400841544708423, 0.6351470957158762, 0.6454340062076567]",0.6384336085889225,0.38072929652654286
32,0.646428686627112,"[0.5928582427696583, 0.6370711353901475, 0.6402385847128975, 0.632739255954525, 0.646428686627112, 0.6411590074159929, 0.6334661136599766]",0.6319944323614728,0.40872337168057227
35,0.6542643994270196,"[0.6119843251632109, 0.6370734934331763, 0.6476822089748377, 0.6508529492660511, 0.6466509575227779, 0.6542643994270196, 0.6426876103258063]",0.6415994205875543,0.40583727041822865
38,0.6479912865135863,"[0.5717317543255668, 0.6120663789472952, 0.6279098210667176, 0.633767374801699, 0.6459515686604984, 0.6479912865135863, 0.6478034862479355]",0.6267459529376141,0.4235544508683425
41,0.649479358256766,"[0.6092514496036388, 0.6093132054866254, 0.649479358256766, 0.6435488507043209, 0.6400063195889808, 0.641297944426975, 0.6393368328507201]",0.6331762801311466,0.4237260105736433
44,0.6479124609860032,"[0.6020676437552652, 0.6328453972437942, 0.6398841515957046, 0.6479124609860032, 0.6316372824826973, 0.6357855407372124, 0.6343550930507248]",0.6320696528359145,0.4294812138362077
47,0.6437019953431966,"[0.5850536027186408, 0.6275294800355521, 0.6346687775895933, 0.6188362736653876, 0.6437019953431966, 0.6297927515271071, 0.6338947370437418]",0.6247825168461743,0.4040560829518855
50,0.6513774197915152,"[0.6116614630942903, 0.6376375828885081, 0.6327847874123803, 0.6369157696781131, 0.6431463590926965, 0.6513774197915152, 0.6466628398795464]",0.6371694602624357,0.42384128576593166
53,0.6446410133610423,"[0.580087763690383, 0.6232467647080379, 0.6264530080825907, 0.6446410133610423, 0.6361401691949184, 0.6363969954771673, 0.6320411225092388]",0.6255724052890541,0.40703369572098547
56,0.6510391621665237,"[0.5983949908443396, 0.6251166734346543, 0.6143290399765838, 0.6103577359353912, 0.6292595981542677, 0.6415216683221917, 0.6510391621665237]",0.6242884098334217,0.41714476392276917
59,0.6519774552866375,"[0.5883686307802436, 0.5819169135391934, 0.6115844888817874, 0.6274524993940523, 0.6312623222532445, 0.6519774552866375, 0.6376329423570062]",0.6185993217845951,0.410552017707007
