attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,train_w_frnk,attr_in_01,gpu,seed,write_csv,ATTR_IN_01,ADVERSARIAL,TRAIN_W_FRNK
16,512,1536,60,0.0001,1e-05,0.001,0.001,10,7,0.003,0.001,500,3,True,False,False,0,40,True,False,True,False


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5435766249579899,"[0.5199756094336743, 0.5432036089099151, 0.5350209217046651, 0.5365279548437605, 0.5212813101910541, 0.540457483867088, 0.5435766249579899]",0.5342919305583067,0.4086141899245466
5,0.5852936127839188,"[0.543899548484023, 0.5684685258060723, 0.5793142949461295, 0.5827027891746188, 0.5852936127839188, 0.5783006301015423, 0.5794513456060932]",0.5739186781289141,0.3576236770920881
8,0.5939437928338531,"[0.5499952733443697, 0.5760525653498564, 0.5747512004494827, 0.5664285578501362, 0.5633004489196474, 0.583554492630095, 0.5939437928338531]",0.5725751901967772,0.3355074746096789
11,0.627125496891671,"[0.5666295401122405, 0.5879469837671777, 0.6034062647201713, 0.6077521551445881, 0.627125496891671, 0.6071582683355893, 0.5891795787665605]",0.5984568982482854,0.3304222912915153
14,0.6295598019434085,"[0.5825604265482351, 0.6083789079140157, 0.5901296837370208, 0.6264799766768402, 0.6295598019434085, 0.5996981166976549, 0.6127481125685479]",0.6070792894408177,0.33721425669224053
17,0.637841158594179,"[0.6051766450141929, 0.6194274250500359, 0.637841158594179, 0.6358073083093241, 0.6227884543951931, 0.632385301238974, 0.6108271698219774]",0.6234647803462681,0.33800039756090144
20,0.6401496894985038,"[0.6170009804865958, 0.6217837211456766, 0.6399103953564869, 0.6401496894985038, 0.6215292180529906, 0.6384672229166501, 0.6327441999846667]",0.6302264896345101,0.3438582159246609
23,0.6407983542105727,"[0.6218877249217145, 0.6249734808067731, 0.6407983542105727, 0.6399520680342883, 0.6390028606079078, 0.6304868580611018, 0.6351355352569488]",0.6331766974141867,0.33959814717350156
26,0.664281074128907,"[0.6194213648971713, 0.6591831603774506, 0.6431227954018574, 0.6572811674812246, 0.664281074128907, 0.6585679309613973, 0.6362151696290979]",0.6482960946967294,0.35796726570177434
29,0.6625890125187055,"[0.6270910542662544, 0.6303193880529963, 0.6625890125187055, 0.6475236855190227, 0.6457568155897744, 0.6414420215487059, 0.6547962163180975]",0.6442168848305082,0.37190325441339117
32,0.6535166435827032,"[0.6002568565982768, 0.6326185153811054, 0.6488290422019676, 0.6361639285862053, 0.6535166435827032, 0.6512209458844621, 0.6479910113773897]",0.6386567062303014,0.4069146332130922
35,0.6614217696620796,"[0.6101075925200392, 0.6369947258208812, 0.6510320307218472, 0.6529519711738354, 0.6503821003490265, 0.6614217696620796, 0.6471390183423548]",0.6442898869414376,0.39738074263050643
38,0.6502746445715004,"[0.573022998937733, 0.6138432320951346, 0.6344262517393174, 0.6350897878651577, 0.6437293915757338, 0.6502746445715004, 0.6447924175311666]",0.6278826749022491,0.41678349376282536
41,0.6538085150552886,"[0.6142382426298123, 0.6092067752783045, 0.6538085150552886, 0.6448173977066147, 0.6437896453702139, 0.6441043018188947, 0.6386214726406926]",0.6355123357856887,0.4196782864647913
44,0.648790080799325,"[0.6018296130643374, 0.637922542898907, 0.6418694814258369, 0.648790080799325, 0.6265325978472401, 0.636267131518294, 0.6306173789603038]",0.631975546644892,0.427691651980804
47,0.6474013435584188,"[0.5881504488105724, 0.6376986235060584, 0.6353988181612095, 0.6248521647039101, 0.6474013435584188, 0.6322673012360519, 0.6339153517561014]",0.6285262931046176,0.40281491644691203
50,0.648431025493421,"[0.6127750888001218, 0.645789507481493, 0.6397494548878321, 0.6372566978143404, 0.646874822597784, 0.648431025493421, 0.6461624586468429]",0.6395770079602622,0.42120271171442386
53,0.6463746730510606,"[0.5814483725705413, 0.6219533764188876, 0.6285473210656176, 0.6463746730510606, 0.6366182289715906, 0.6324109844296464, 0.6326051604880016]",0.6257083024279064,0.40939377982227915
56,0.64523252094135,"[0.5986157361943591, 0.6294865999085607, 0.6207209242167879, 0.618219620304772, 0.6285709954481762, 0.6444694352539587, 0.64523252094135]",0.6264736903239949,0.4164757316587805
59,0.6492112445662798,"[0.5922314532556033, 0.5828386425562214, 0.6156168476054235, 0.6334212424220395, 0.6372235823020465, 0.6492112445662798, 0.640268136708389]",0.6215444499165719,0.41147099891476063
