attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,train_w_frnk,attr_in_01,gpu,seed,write_csv,ATTR_IN_01,ADVERSARIAL,TRAIN_W_FRNK
16,512,1536,60,0.0001,1e-05,0.001,0.001,10,7,0.003,0.001,500,3,False,False,False,0,40,True,False,False,False


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5431207043735494,"[0.5220122798720656, 0.5431207043735494, 0.5338126214462735, 0.5366884723024944, 0.5215917635014355, 0.5391188010416239, 0.5424101135805757]",0.534107822302574,0.41015518827093433
5,0.5830906163223943,"[0.5430488737458905, 0.5680806248556525, 0.5830906163223943, 0.5822149507476193, 0.5825965302880827, 0.5782927937487595, 0.5777641552853882]",0.5735840778562552,0.3559225955422659
8,0.5941316149628422,"[0.5491584964428606, 0.5751827909950176, 0.5749799678826422, 0.5613278003284805, 0.5592390583177063, 0.5815796314597396, 0.5941316149628422]",0.5707999086270412,0.33513009084372214
11,0.6304695596816814,"[0.5717218916658334, 0.5903347764209427, 0.6041273059806168, 0.6091536234931361, 0.6304695596816814, 0.6101940878583955, 0.5928011427191867]",0.601257483974256,0.3304327043124262
14,0.629968273954861,"[0.5825120913279791, 0.6070882860685403, 0.5916568019880113, 0.629968273954861, 0.6258725889287335, 0.5998432386205187, 0.6152326309559175]",0.6074534159777946,0.33957663231445967
17,0.6422303387034993,"[0.6066886016260568, 0.6246877027825288, 0.6422303387034993, 0.6359029161958599, 0.6248430449885939, 0.6369171629379725, 0.6215912507268175]",0.6275515739944755,0.3409528899715641
20,0.6444048460838443,"[0.6172339730766684, 0.6208240112246761, 0.6420743179858671, 0.6444048460838443, 0.6241217635380891, 0.6395297936398336, 0.6312900860013898]",0.631354113078624,0.3484943520888116
23,0.6415609472079338,"[0.6199444477762104, 0.626291745628861, 0.6415609472079338, 0.6399562625333546, 0.6369191345609898, 0.6317389361372385, 0.6340835828654324]",0.6329278652442886,0.34373412902690575
26,0.6652121715674287,"[0.6172787370482666, 0.6543894184355644, 0.6400439936365996, 0.653262453559104, 0.6652121715674287, 0.6564305211534995, 0.6300087134726651]",0.6452322869818754,0.3691729270978805
29,0.6624368452678815,"[0.626267223180486, 0.6328036862203166, 0.6624368452678815, 0.6498915604422738, 0.6477462371344217, 0.6421602943112594, 0.6530665554676613]",0.6449103431463286,0.390191594938492
32,0.6558731646931582,"[0.5975746633846049, 0.6413870228887646, 0.6421774569516818, 0.6406878908579658, 0.6558731646931582, 0.6484681239328304, 0.6472773313384381]",0.6390636648639206,0.4118280612292615
35,0.6555022968109577,"[0.6063497636978491, 0.6393326914829326, 0.6530160810373379, 0.6498158839575443, 0.6461832217344828, 0.6555022968109577, 0.6470970992286271]",0.6424710054213902,0.40204833976876053
38,0.6514470292429045,"[0.5740744345805788, 0.6145930330168216, 0.6324818385986356, 0.6373356555985547, 0.6443486884322782, 0.6492663624015499, 0.6514470292429045]",0.6290781488387606,0.4203038546650843
41,0.6483803835053417,"[0.6071371419606328, 0.6141950384671649, 0.6483803835053417, 0.6423847660999333, 0.6385021800135389, 0.6413833966230342, 0.6369581642999679]",0.6327058672813735,0.4248322375775943
44,0.6468022595932028,"[0.5998838621030901, 0.6310691989726249, 0.6394414329960748, 0.6468022595932028, 0.6302021529121126, 0.6378430010071989, 0.6334784895488874]",0.6312457710190273,0.4300126015897792
47,0.6461165140558576,"[0.5874284279833594, 0.6255547050529036, 0.635053993901617, 0.6147065297437055, 0.6461165140558576, 0.6274407664422701, 0.632072080946258]",0.6240532883037101,0.40697856738195154
50,0.647594606095887,"[0.6148865188731484, 0.6381108547842588, 0.6336292175643148, 0.6368433308396474, 0.6423417121945627, 0.647594606095887, 0.6450671438046917]",0.6369247691652158,0.4171393003661317
53,0.6315878049787098,"[0.5724816988052571, 0.6130762273803703, 0.6143106821856895, 0.6315878049787098, 0.6289884964910625, 0.6274164738171503, 0.6258789317874263]",0.616248616492238,0.40922431572084145
56,0.6429007444118534,"[0.5923986805548919, 0.6192035317134573, 0.608847419634696, 0.6046747449755399, 0.6225689480186739, 0.6364351074318546, 0.6429007444118534]",0.6181470252487096,0.41878077308455414
59,0.6477821986201244,"[0.5837323225013054, 0.5764551746977794, 0.6085779319841063, 0.6296568292355881, 0.637829304992454, 0.6477821986201244, 0.6334058668993497]",0.6167770898472439,0.4105315113568958
